__v,_id,amount,author,book_cover,category,description,manufacturer,name,number_of_page,price,publication_date,publisher,stars.averageStars,stars.totalAmountVotes,stars.totalNumberStars
0,62a202428801b54984b83460,50,Tôn Nguyên Vĩ,Bìa mềm,sachthieunhi,"Tuổi thơ là khoảng thời gian đẹp nhất trong cuộc đời mỗi người. Ở lứa tuổi này luôn tràn đầy hy vọng, ước mơ, cùng những ngây thơ trong sáng buổi ban đầu. Đứng trước thế giới với bao điều kỳ diệu, mang trong mình sự tò mò, khát vọng tìm hiểu, câu nói thường thấy nhất ở trẻ là “Vì sao?”. Để có thể trả lời chính xác câu hỏi của trẻ, không phải là việc đơn giản. Các nghiên cứu cho thấy, sự phát triển của bộ não trẻ diễn ra nhanh nhất vào tuổi 13 trở về trước, là một phụ huynh, khi không mang lại cho trẻ cơ hội suy nghĩ, tìm hiểu, có thể bạn sẽ phải rất ân hận! Thế giới ngày nay phát triển nhanh chóng, kho tàng kiến thức là vô hạn, luôn được đổi mới với tốc độ chóng mặt.",Nhã Nam,10 Vạn Câu Hỏi Vì Sao - Cuộc Sống Muôn Màu,520,44000,2018,NXB Tri Thức,2,1,2
0,62a2030b8801b54984b83463,48,Andrew Knapp,Bìa cứng,sachthieunhi,"Momo là một chú chó giống Border Collie vô cùng nhanh nhẹn và có tài ẩn nấp. Trong mỗi hành trình cùng nhiếp ảnh gia Andrew Knapp, Momo vô tư chạy nhảy khắp nơi và thường thể hiện phẩm chất của một chú chó chăn cừu thực sự. Cậu vùi mình trong một thảm lá vàng, trốn dưới một bến tàu hay trong một tiệm cafe đông đúc... Momo luôn biết cách giấu mình để thử thách Andrew và chúng ta tìm ra chú.",Nhã Nam,Đi Tìm Momo - Tập Sách Ảnh Trốn Tìm - Tập 2,350,91000,2020,NXB Kim Đồng,3,1,3
0,62a203988801b54984b83466,50,Albert Rutherford,Bìa cứng,sachkynangsong,"Như bạn có thể thấy, chìa khóa để trở thành một người có tư duy phản biện tốt chính là sự tự nhận thức. Bạn cần phải đánh giá trung thực những điều trước đây bạn nghĩ là đúng, cũng như quá trình suy nghĩ đã dẫn bạn tới những kết luận đó. Nếu bạn không có những lý lẽ hợp lý, hoặc nếu suy nghĩ của bạn bị ảnh hưởng bởi những kinh nghiệm và cảm xúc, thì lúc đó hãy cân nhắc sử dụng tư duy phản biện! Bạn cần phải nhận ra được rằng con người, kể từ khi sinh ra, rất giỏi việc đưa ra những lý do lý giải cho những suy nghĩ khiếm khuyết của mình. Nếu bạn đang có những kết luận sai lệch này thì có một sự thật là những đức tin của bạn thường mâu thuẫn với nhau và đó thường là kết quả của thiên kiến xác nhận, nhưng nếu bạn biết điều này, thì bạn đã tiến gần hơn tới sự thật rồi!",Nhã Nam,Rèn Luyện Tư Duy Phản Biện,350,59000,2020,NXB Phụ Nữ Việt Nam,0,0,0
0,62a205ef8801b54984b8346c,50,OSHO,Bìa cứng,sachkynangsong,"Thông qua từng chương của cuốn sách, bạn đọc nhận diện những dấu hiệu của một tình yêu đích thực: Sự cho đi và không chờ đợi được nhận lại, sự trưởng thành cá nhân, đặc biệt là sự tỉnh thức khi yêu. “Việc tỉnh táo nhận biết về bản thể của mình là sự khởi đầu của hành trình hướng tới tình yêu”.",Đông A,OSHO - Yêu - Being In Love,350,59000,2020,NXB Phụ Nữ Việt Nam,0,0,0
0,62a2204c9244fb290e901169,50,Brain L Weiss,Bìa cứng,sachkynangsong,"Định mệnh sẽ dẫn lối cho những linh hồn tri kỷ hội ngộ. Chúng ta sẽ gặp họ. Nhưng quyết định làm gì sau đó lại là quyền tự do lựa chọn của mỗi người. Một lựa chọn sai lầm hoặc một cơ hội bị bỏ lỡ có thể dẫn đến nỗi cô đơn và thống khổ tột cùng. Và một lựa chọn đúng đắn, một cơ hội được nắm bắt có thể mang lại niềm hạnh phúc sâu sắc.",Nhã Nam,Kiếp Nào Ta Cũng Tìm Thấy Nhau - Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa,350,129000,2020,NXB Phụ Nữ Việt Nam,0,0,0
0,62a220fa9244fb290e90116c,49,Robin Sharma,Bìa cứng,sachkynangsong,"Bằng những lời chia sẻ thật ngắn gọn, dễ hiểu về những trải nghiệm và suy ngẫm trong đời, Robin Sharma tiếp tục phong cách viết của ông từ cuốn sách Điều vĩ đại đời thường để mang đến cho độc giả những bài viết như lời tâm sự, vừa chân thành vừa sâu sắc.",Đông A,Đời Ngắn Đừng Ngủ Dài,350,63000,2020,NXB Trẻ,0,0,0
0,62a223419244fb290e901197,50,BS Trần Thị Uyên Thảo,Bìa cứng,sachkynangsong,"“Có một điều chúng ta cần biết và nên biết, là nếu chúng ta hiểu được quá trình dậy thì một cách thấu đáo, chuẩn bị tinh thần và cơ thể thật tốt cho nó, dậy thì sẽ trở thành một giai đoạn mà chúng ta có thể chủ động kiểm soát và vui vẻ đón nhận một cách tự tin hơn. Khi đó, chúng ta sẽ giúp bản thân có một quá trình dậy thì khỏe mạnh, giúp bản thân phát triển thật vui khỏe và có những mong đợi thực tế. Từ đó, chúng ta sẽ giúp cho bản thân, bạn bè, và gia đình bớt đi những ưu phiền, lo lắng, khó chịu không cần thiết, và giúp chúng ta thật sự thưởng thức cuộc đời ta!",Nhã Nam,Chào Tuổi Dậy Thì! Kiến Thức Về Dậy Thì Dành Cho Các Bạn Nam (8-12 Tuổi),350,65000,2020,NXB Trẻ,0,0,0
0,62a224429244fb290e9011a2,49,Tony Buổi Sáng,Bìa mềm,sachkynangsong,"Trên Đường Băng của Tony Buổi Sáng tuy hướng đến những đọc giả là những người trẻ nhưng những người lớn hơn vẫn để hiểu hơn, và có cách nhìn nhận cũng như giáo dục con em mình tốt nhất thay vì bảo vệ con quá kĩ trở nên yếu ớt và thiếu tự lập. Và để yêu thương “khoa học” nhất. Đây cũng là cuốn sách mà những người đi làm nên sở hữu để nhìn lại chặng đường mình đã đi qua, suy ngẫm và thay đổi vì chưa bao giờ là quá muộn",Nhã Nam,Trên Đường Băng,350,65000,2017,NXB Trẻ,0,0,0
0,62a2259f9244fb290e9011ad,50,Ca Tây,Bìa cứng,sachkynangsong,"KỶ LUẬT vốn là ván cờ bạn phải tự đấu với chính mình. Thắng - bạn sẽ có được “bản năng của người mạnh mẽ nhất”, đó là sự tự kiểm soát bản thân. Thua - bạn mãi sống trong cảm giác tạm bợ, nuối tiếc. Càng dễ dàng dung túng cho những thói quen trì hoãn bao nhiêu, cuộc sống của bạn sẽ đi càng nhanh tới sự mất kiểm soát và thiếu quy hoạch bấy nhiêu.",Đông A,"Càng Kỷ Luật, Càng Tự Do",350,87000,2020,NXB Thế Giới,0,0,0
0,62a226049244fb290e9011b0,50,"Shin Dohyeon, Yun Naru",Bìa cứng,sachkynangsong,"Kỹ năng giao tiếp là một trong những kỹ năng sống vô cùng quan trọng, tuy nhiên đôi khi chúng ta lại không mấy để ý tới chúng. Để đạt được điều bạn mong muốn, ngôn từ chính là chiếc chìa khóa đầu tiên. Sức mạnh của ngôn từcó thể đưa bạn từ sự vui sướng tột độ đến tâm trạng tụt dốc, buồn đau,chán nản. Cuộc sống của bạn sẽ trở nên tốt đẹp và hạnh phúc hơn nếu thấu hiểu được ẩn ý và cách sử dụng khéo léo và linh hoạt  ngôn từ trong giao tiếp.",Đông A,Sức Mạnh Của Ngôn Từ ,350,77000,2020,NXB Thế Giới,0,0,0
0,62a226b99244fb290e9011bc,49,Nguyễn Minh Tuấn,Bìa cứng,sachkinhte,"Xu thế hội nhập toàn cầu là động lực thúc đẩy sự phát triển kinh tế của các quốc gia trên thế giới. Xu hướng này vừa là một thách thức vừa là một cơ hội để các quốc gia đang trên đà phát triển như Việt Nam tự khẳng định mình. Vì vậy, sự am hiểu về các vấn đề kinh tế ở cấp vĩ mô như lạm phát, thất nghiệp, chính sách tài khoản, chính sách tiền tệ... của một quốc gia là điều hết sức cần thiết đối với sinh viên Đại học ngành Quản trị kinh doanh nói riêng và với sinh viên khối ngành Kinh tế nói chung.",Đông A,Kinh Tế Vĩ Mô,350,57000,2020,NXB Kinh tế TP.Hồ Chí Minh,0,1,0
0,62a228a49244fb290e9011c9,48,Richard Smitten,Bìa mềm,sachkinhte,"Đáp ứng nhu cầu ngày càng tăng trong việc tìm hiểu về cổ phần, cổ phiếu, chứng khoán, chiến lược đầu tư của độc giả, Alpha Books chọn mua bản quyền dịch và xuất bản bộ sách về đầu tư chứng khoán bao gồm: Giàu từ chứng khoán; Trở thành thiên tài chứng khoán; Cổ phiếu thường - lợi nhuận phi thường; Hồi ức của một thiên tài chứng khoán; Phố Wall - Một Las Vegas khác; Quy tắc số 1: đầu tư thành công chỉ với 15 phút mỗi tuần; Trên đỉnh Phố Wall….",Nhã Nam,Chết Vì Chứng Khoán,400,163000,2019,NXB Lao Động,3.5,2,7
0,62a229799244fb290e9011d4,49,Nguyễn Mến,Bìa cứng,sachkinhte,"Tác giả Nguyễn Mến là Tổng giám đốc Công ty Cổ phần thời trang MC Việt Nam, nhà sáng lập 5 thương hiệu thời trang tầm trung nổi tiếng: MC Fashion, Anadi Fashion, Gala Lady, MC Young, Anadi Young. Nguyễn Mến cũng là diễn giả được yêu thích của nhiều trường doanh nhân uy tín và chuỗi chương trình hội thảo về khởi nghiệp do Đoàn TNCS Hồ Chí Minh và Hội Liên hiệp Thanh Niên Việt Nam các tỉnh thành tổ chức trong năm 2020 và 2021.",Đông A,Kinh Doanh Thời Trang Thành Công Từ A-Z,350,213000,2020,NXB Thanh Niên,0,0,0
0,62a229d99244fb290e9011d7,49,Hồ Công Hoài Phương,Bìa mềm,sachkinhte,"Tác giả Nguyễn Mến là Tổng giám đốc Công ty Cổ phần thời trang MC Việt Nam, nhà sáng lập 5 thương hiệu thời trang tầm trung nổi tiếng: MC Fashion, Anadi Fashion, Gala Lady, MC Young, Anadi Young. Nguyễn Mến cũng là diễn giả được yêu thích của nhiều trường doanh nhân uy tín và chuỗi chương trình hội thảo về khởi nghiệp do Đoàn TNCS Hồ Chí Minh và Hội Liên hiệp Thanh Niên Việt Nam các tỉnh thành tổ chức trong năm 2020 và 2021.",Nhã Nam,"Quảng Cáo Không Nói Láo - Sự Thật Về Quảng Cáo Dưới Góc Nhìn Khoa Học, Toàn Diện Và Thực Tiễn",350,168000,2021,NXB Thanh Niên,0,0,0
0,62a22ab19244fb290e9011e0,50,Cung Huân,Bìa cứng,sachthieunhi,"Hiện nay, nhiều bậc cha mẹ thường chú trọng bồi dưỡng phát triển não trái cho con mà coi nhẹ phát triển não phải. Tiến sĩ Roger Wolcott Sperry, người đạt giải Nobel về y học đã nghiên cứu và phát hiện ra rằng, sự phát triển của não phải cũng rất quan trọng. Hai bán cầu đại não cùng hoạt động nhịp nhàng, cân bằng thì trí tuệ trẻ mới phát triển toàn diện về mặt nền tảng vững chắc cho sự trưởng thành sau này.",Đông A,300 Trò Chơi Phát Triển Trí Tuệ Cho Trẻ 3 Tuổi,350,38000,2020,NXB Thanh Niên,0,0,0
0,62a22b349244fb290e9011e3,48,Hoài Nam,Bìa mềm,sachthieunhi,"Mỗi đất nước trên thế giới đều có rất nhiều điều thú vị để khám phá. Với chuyến du hành Vòng quanh thế giới, bạn sẽ được ghé thăm rất nhiều quốc gia, địa điểm nổi tiếng, biết thêm nhiều truyền thống văn hóa, lễ hội lí thú của con người khắp mọi nơi.",Nhã Nam,Vòng Quanh Thế Giới - Ai Cập,400,10000,2019,NXB Kim Đồng,0,0,0
0,62a22bfc9244fb290e9011ea,50,Alex Bellos,Bìa mềm,sachthethao,"Bóng đá đến với Brazil vào năm 1894. ‘Môn thể thao bạo lực của người Anh’ được đón nhận nồng nhiệt ngoài mong đợi. Chỉ trong vài thập kỷ, nó đã trở thành biểu tượng mạnh mẽ nhất của bản sắc Brazil. Đội tuyển quốc gia Brazil, như chúng ta đều biết, đã giành được nhiều chức vô địch World Cup hơn bất kỳ đội tuyển nào khác. Đất nước này cũng sản sinh ra Pelé, cầu thủ vĩ đại nhất mọi thời đại. Hơn thế nữa, người Brazil đã phát minh ra một lối chơi đầy khoa trương, thu hút, kịch tính và duyên dáng - điều dường như là một chuẩn mực ‘không thể đạt được’ cho phần còn lại của thế giới. Người Anh gọi bóng đá là ‘môn thể thao đẹp’ (beautiful game). Người Brazil thì gọi nó là ‘futebol-arte”, tức là bóng đá nghệ thuật (art-football). Cho dù bạn gọi nó bằng cái tên nào đi nữa, trong toàn bộ nền thể thao quốc tế, chẳng gì có được sức hấp dẫn tương tự như bóng đá.",Nhã Nam,Bóng Đá - Lối Sống Brazil,350,240000,2021,NXB Văn hóa Văn nghệ,0,0,0
0,62a22c919244fb290e9011f1,49,Ole,Bìa cứng,sachthethao,"    Nhưng thực tế, Ole không phải là người “sinh  ra đã có số phận làm cầu thủ”. Ông luôn nói với mọi người rằng, nếu không quyết định làm cầu thủ, ông sẽ trở thành một kế toán giỏi. Vậy mà Ole đã chọn bóng đá, đặc biệt là việc ghi bàn vào lưới đối phương. Có một phân tích cho thấy rằng, trong số 126 bàn thắng mà Ole ghi cho United, thì có 50 bàn được thực hiện trong 30 phút cuối cùng của trận đấu, trong đó lại có 33 bàn được ghi trong vòng 15 phút cuối. Ông thường vào sân từ băng ghế dự bị, nhưng ông được gọi là “Siêu Dự Bị” vì ông luôn theo dõi trận đấu sát sao, vào sân ở thời điểm nào cũng bắt nhịp được ngay lập tức, và dứt điểm rất hiệu quả. Bàn thắng ấn tượng nhất của ông là bàn ghi vào lưới Bayern Munich, giúp United vô địch Champions League năm 1999, giành được Cú Ăn Ba trứ danh.",Đông A,Hồi Ký Của Một Huyền Thoại Manchester United,350,100000,2020,NXB Văn hóa Văn nghệ,0,1,0
0,62a22cf09244fb290e9011f4,50,Luca Caioli,Bìa mềm,sachthethao,"Idrisse năm nay 9 tuổi. Ngoài thời gian ở trường, cậu bé chơi bóng cho đội U-10. Trong vài chục chữ, cậu bé đã có thể tóm lược được suy nghĩ của tất cả mọi người ở Bondy, từ Madame La Maire (Bà Thị trưởng - N.D), tới những đứa trẻ đang chơi bóng trên những sân bóng ở Stade Léo-Lagrange chỉ cách đó vài trăm mét……",Nhã Nam,Mbappé - Cậu Bé Vàng,400,95000,2019,NXB Văn hóa Văn nghệ,0,0,0
0,62a22db09244fb290e901204,50,Claire Summerscale,Bìa mềm,sachthethao,Cờ Vua - Hãy chơi để chiến thắng có thể giúp các bạn nhỏ chưa biết gì về cờ vua nắm rõ luật và những thủ thuật chơi cơ bản thông qua phương pháp hướng dẫn lí thuyết đi kèm với thực hành.,Nhã Nam,Cờ Vua - Hãy Chơi Để Chiến Thắng,350,98000,2021,NXB Văn hóa Văn nghệ,0,0,0
0,62a22e379244fb290e901207,50,Luca Caioli,Bìa mềm,sachthethao,"Messi vs Ronaldo - Ai là người xuất sắc hơn? Đấy không phải là câu hỏi mà cuốn sách này cố gắng trả lời. Nhưng thông qua cuốn sách này, các bạn sẽ có được tất cả những gì các bạn cần phải biết về hai siêu sao bóng đá đương đại, để từ đó có thể tự mình đưa ra quyết định",Nhã Nam,Messi Vs Ronaldo - Đại Chiến Giữa Những Vị Thần,350,103000,2021,NXB Hà Nội,0,0,0
0,62a22edf9244fb290e90120e,50,Nhiều Tác Giả,Bìa cứng,sachthethao,"Như chúng ta đều biết, những thành quả mà Đội tuyển U23 Việt Nam đạt được tại VCK U23 châu Á 2018 đã mang lại những cảm xúc khó quên trong lòng mỗi người con đất Việt. Những cảm hứng tuyệt vời đó thật hiếm hoi và đáng quý, cần được lan tỏa, lưu giữ theo thời gian, để luôn  nhắc nhở chúng ta rằng, người Việt giàu tinh thần dân tộc, tinh thần thượng võ, giàu ý chí, nghị lực, đặc biệt là trước những thử thách, nghịch cảnh. Thế hệ trẻ Việt Nam hoàn toàn có thể chinh phục những đỉnh cao trong nhiều lĩnh vực khác như kinh tế, giáo dục, khoa học kỹ thuật… như trong thể thao như U23 đã làm được.",Nhã Nam,Bão Lửa U23 - Thường Châu Tuyết Trắng,350,95000,2020,NXB Hà Nội,0,0,0
0,62a22fc89244fb290e901211,50,Lê Huỳnh Đức,Bìa cứng,sachthethao,"Có lẽ tất cả chúng ta đều ý thức được rằng: thói quen tập thể dục là tốt cho sức khoẻ. Tuy nhiên lại có quá nhiều nỗi lo để bắt đầu việc luyện tập, và quá nhiều lý do để nguỵ biện cho việc không đi tập. Chưa kể đến vẫn có rất nhiều nhận thức sai lầm ngay khi bạn chỉ mới bắt đầu, dẫn đến việc từ bỏ luyện tập và không tạo được một thói quen đúng đắn.",Đông A,Tôi Tập Thể Dục - Những Bí Quyết Đơn Giản Để Có Thân Hình Đẹp Và Cơ Thể Khỏe Mạnh,350,105000,2020,NXB Hà Nội,0,0,0
0,62a230759244fb290e90121e,50,Hà Thanh Uyên,Bìa mềm,sachthamkhao,Luyện Viết Và Học Từ Vựng Tiếng Anh Lớp 1,Nhã Nam,Luyện Viết Và Học Từ Vựng Tiếng Anh Lớp 1,400,28000,2019,NXB Hà Nội,5,1,5
0,62a231459244fb290e901225,50,NXB Phụ Nữ Việt Nam,Bìa cứng,sachbame,"Yêu thương con cái là lẽ thường tình, nhưng bạn đã yêu con đúng cách hay chưa? Đã bao giờ bạn tự hỏi, con bạn cần tình yêu như thế nào chưa?",Nhã Nam,5 Phút Khích Lệ Trẻ Mỗi Ngày,350,28000,2020,NXB Phụ Nữ Việt Nam,0,0,0
0,62a231ce9244fb290e90122c,50,Nguyễn Mạnh Trí,Bìa cứng,sachyhoc,"Tài liệu này góp phần đào tạo bác sĩ đa khoa và các thầy thuốc, lương y, y sĩ, điều dưỡng, dược sĩ công tác tại khoa Y học cổ truyền của các bệnh viện và tuyết y tế cơ sở. Mục đích của những bài giảng này: Làm cho sinh viên hiểu và trân trọng bản sắc văn hoá dân tộc trong Y học cổ truyền để từ đó yêu thích môn học và tích cực tìm hiểu, nghiên cứu Y học cổ truyền. Trang bị cho sinh viên phương pháp luận và những kiến thức cơ bản của Y học cổ truyền để bổ sung thêm vào sở học hiện đại của mình. Trang bị cho sinh viên các phương pháp chẩn đoán và điều trị một số vấn đề sức khoẻ thông thường. Nâng cao nhận thức về tầm quan trọng của việc phòng trị bệnh, trị bệnh và bồi thường sức khoẻ bằng Y học cổ truyền; tích cực trong công tác chăm sóc sức khoẻ cho cá nhân và cộng đồng bằng việc phối hợp phương pháp Y học cổ truyền và Y học hiện đại. Đây chỉ là những kiến thức Y học cổ truyền cơ bản, những thầy thuốc bước qua ngưỡng cửa này có thể tự học, tìm hiểu, nghiên cứu và từ đó àp dụng sâu rộng hơn.",Đông A,Y Học Cổ Truyền,350,118000,2020,NXB Tổng Hợp TPHCM,0,0,0
0,62a232dd9244fb290e901236,50,Nguyễn Mạnh Trí,Bìa cứng,sachvanhoa,"Chúng ta yêu Paris: văn hóa của nó, sự quyến rũ của nó, cái je ne sais quoi (cái khó tả, khó gọi tên) của nó. Còn gì hơn được khám phá những cửa hiệu sang trọng ở Khu Marais hay hít hà những loại pho mát hảo hạng nhất trong cái chợ tươi ngon trên Đường Rue Montorgueil; lang thang ở Khu Montmartre mộng mơ hay dạo qua những hiệu sách ở Khu Latinh; xem ca vũ trong quán rượu khi đêm muộn hay thẩn thơ bước dọc Đại lộ Boulevard St-Germain để đến uống một li cà phê buổi sáng ở Quán Café de Flore theo dấu chân Hemingway và Picasso? Và còn gì vui hơn là nhảy lên một cái xe Vélib’ và đạp xe dọc Sông Seine từ Tháp Eiffel đến Nhà thờ Đức Bà?",Nhã Nam,Cẩm Nang Du Lịch - Top 10 Paris,350,96000,2020,NXB Tổng Hợp TPHCM,0,0,0
0,62a2b1301f8da0aa891e8317,50,An Khuê,Bìa cứng,sachvanhoa,"50 tips for girls gồm các cuốn: 50 tips du lịch dành cho các bạn gái, 50 tips giúp bạn gái vượt qua thất tình, 50 tips hẹn hò thành công, 50 tips cho những người yêu lần đầu được biên soạn như một món quà dành tặng cho các bạn gái, với một mong muốn là giúp các bạn gái thực sự biết trân trọng mình, biết cách khiến mình hạnh phúc và tận hưởng những điều cuộc sống đã ban tặng cho mình.",Đông A,50 Tips Du Lịch Dành Cho Bạn Gái,350,44000,2020,NXB Lao Động,0,0,0
0,62a2b1cb1f8da0aa891e831a,50,Phan Huy Xu,Bìa mềm,sachvanhoa,Khách du lịch nước ngoài có thể thấy cuộc sống của chúng ta còn nghèo về mặt vật chất nhưng không thể xem chúng ta thiếu văn hóa. Không thể để đồng tiền làm mất giá trị cao đẹp về uy tín của thương hiệu du lịch. Cần khẳng định văn hóa phải song hành với du lịch. Văn hóa là nền tảng tinh thần và động lực của phát triển du lịch. Nếu văn hóa xuống cấp thì du lịch không thể phát triển bền vững vì văn hóa là gốc rễ của sự phát triển du lịch.,Nhã Nam,Những Mảng Màu Du Lịch Việt Nam,400,108000,2019,NXB Lao Động,0,0,0
0,62a2b29e1f8da0aa891e831f,50,Dorling Kindersley Limited,Bìa cứng,sachvanhoa,"Cuốn cẩm nang này sẽ giúp bạn có được trải nghiệm tuyệt vời nhất trong chuyến du lịch đảo Anh, với hàng loạt thông tin thiết thực và gợi ý hữu ích từ các chuyên gia. Phần Giới thiệu đảo Anh cho bạn cái nhìn tổng thể về bối cảnh văn hóa và lịch sử của đảo quốc này. Sáu chương tiếp theo cộng với chương về London sẽ giới thiệu các vùng miền của đảo Anh, miêu tả các thắng cảnh quan trọng kèm theo bản đồ và hình ảnh minh họa. Các mục chính đề cập các chủ đề từ kiến trúc, vườn tược đến các môn thể thao. Hướng dẫn về nhà hàng và khách sạn nằm ở phần Hành trang du khách. Phần Những điều cần biết cung cấp những thông tin thiết thực về mọi vấn đề từ giao thông cho đến an toàn cá nhân.",Nhã Nam,Cẩm Nang Du Lịch Anh Quốc,350,108000,2020,NXB Dân Trí,0,0,0
0,62a2b3e81f8da0aa891e8337,50,Dorling Kindersley Limited,Bìa mềm,sachvanhoa,"Cuốn cẩm nang này sẽ giúp bạn có được những trải nghiệm tuyệt vời nhất trong chuyến du lịch Thái Lan, với hàng loạt những thông tin thiết thực và gợi ý hữu ích từ các chuyên gia. Phần Giới thiệu Thái Lan phác họa cho bạn cái nhìn tổng thể về bối cảnh văn hóa và lịch sử của quốc gia này. Năm phần tiếp theo giới thiệu về năm miền địa lí của Thái Lan, cộng với Bangkok, và miêu tả các thắng cảnh quan trọng kèm theo bản đồ, hình ảnh và tranh minh họa. Các mục chính đề cập các chủ đề từ kiến trúc và mĩ nghệ cho đến động vật hoang dã và các môn thể thao. Hướng dẫn về nhà hàng và khách sạn nằm ở phần Hành trang du khách. Phần Những điều cần biết cung cấp những thông tin thiết thực về mọi vấn đề từ giao thông cho đến an toàn cá nhân.",Nhã Nam,Cẩm Nang Du Lịch Thái Lan,400,200000,2019,NXB Dân Trí,0,0,0
0,62a2b6bb545b7fcb54642695,50,Dorling Kindersley Limited,Bìa mềm,sachvanhoa,"Cuốn cẩm nang này sẽ giúp bạn có được những trải nghiệm tuyệt vời nhất trong chuyến du lịch Thái Lan, với hàng loạt những thông tin thiết thực và gợi ý hữu ích từ các chuyên gia. Phần Giới thiệu Thái Lan phác họa cho bạn cái nhìn tổng thể về bối cảnh văn hóa và lịch sử của quốc gia này. Năm phần tiếp theo giới thiệu về năm miền địa lí của Thái Lan, cộng với Bangkok, và miêu tả các thắng cảnh quan trọng kèm theo bản đồ, hình ảnh và tranh minh họa. Các mục chính đề cập các chủ đề từ kiến trúc và mĩ nghệ cho đến động vật hoang dã và các môn thể thao. Hướng dẫn về nhà hàng và khách sạn nằm ở phần Hành trang du khách. Phần Những điều cần biết cung cấp những thông tin thiết thực về mọi vấn đề từ giao thông cho đến an toàn cá nhân.",NXB Dân Trí,Cẩm Nang Du Lịch Nhật Bản,350,182000,2021,NXB Dân Trí,0,0,0
0,62a2eb0b465201fdc127d1ce,49,Laura C Martin,Bìa mềm,sachvanhoa,"Là loại đồ uống phổ biến thứ hai trên thế giới, chỉ sau nước, bạn thật sự có thể tìm thấy trà ở bất cứ đâu, từ Á sang Âu, từ nông thôn đến thành thị, từ những quán nước bình dân bên lề đường đến các nhà hàng sang trọng bậc nhất. Trà là thức uống quen thuộc được thưởng thức và yêu thích bởi tất cả tầng lớp trong xã hội bất kể giới tính, tuổi tác hay nghề nghiệp.LỊCH SỬ CỦA TRÀ cung cấp một cái nhìn tổng quát, tinh tế và đầy thú vị về dòng chảy hai ngàn năm của thứ đồ uống quyền lực này, đưa chúng ta du ngoạn qua vùng rừng núi Trung Quốc với những câu chuyện thần thoại, qua phòng trà Nhật Bản với các nghi thức trà đạo khắt khe, qua cả những bữa tiệc trà phù phiếm tại Anh hay các đồn điền trà bát ngát ở Ấn Độ và Sri Lanka.",NXB Dân Trí,Lịch Sử Của Trà,300,182000,2021,NXB Dân Trí,0,0,0
0,62a2eb76465201fdc127d1d1,50,Nguyễn Hữu Hiếu,Bìa mềm,sachvanhoa,"Mùa nước nổi đồng bằng sông Cửu Long, chỉ kéo dài tối đa là bốn tháng trong năm, là thời điểm mà cư dân địa phương tập trung cao độ tri thức, phương tiện ứng phó với thiên nhiên.Những hoạt động sản xuất và sinh hoạt đời thường khác của cư dân địa phương trong mùa nước nổi góp phần tăng thêm sự phong phú đa dạng, nhiều màu sắc cho văn hóa miền sông nước đồng bằng sông Cửu Long.",NXB Dân Trí,Mùa Nước Nổi Trong Đời Sống Văn Hoá Đồng Bằng Sông Cửu Long,300,64000,2021,NXB Dân Trí,0,0,0
0,62a2ebfc465201fdc127d1d4,50,Trần Ngọc Khánh,Bìa mềm,sachvanhoa,"Văn hóa không chỉ là khái niệm, mà còn được coi là thành quả. Đó là cột mốc mở ra các thời đại văn minh của loài người. Cách nay hàng vạn năm, nhờ các hoạt động trồng trọt và sản xuất nông nghiệp, loài người đã vượt qua thời kỳ dài săn bắt - hái lượm. Họ không còn lệ thuộc vào tự nhiên để sinh tồn. Họ khai thác, chinh phục tự nhiên, biến tự nhiên thành văn hóa, nhờ phát triển nhận thức. Kể từ đó, loài người bắt đầu tạo lập đời sống riêng của mình, xây dựng Thế giới tự nhiên thứ hai, được gọi là quá trình đô thị hóa. Đô thị là quá trình con người tạo lập nên đời sống. Từ thời cổ trung đại đến hiện đại, đô thị đã trải qua nhiều hình thái. Chức năng của đô thị là nối dài sự phát triển của văn hóa, đáp ứng các nhu cầu phong phú, đa dạng của con người. Trong quá trình này, con người đã sáng tạo ra một loạt các thành quả văn hóa, trên các lĩnh vực tư tưởng, tôn giáo, khoa học, giáo dục, kinh tế, công nghệ và nhiều thiết chế khác. Đô thị vừa có vai trò quan trọng trong quá trình tiến hóa, vừa có xu thế lan tỏa trên mọi phạm vi không gian. Đô thị trở thành môi trường sống của loài người, trong các tương quan hài hòa với thế giới tự nhiên, đồng bộ về kỹ thuật tiện ích, để con người ngày càng văn minh, tiến bộ.",NXB Dân Trí,Văn Hóa Đô Thị,200,25000,2020,NXB Dân Trí,0,0,0
0,62a2ed39465201fdc127d1d7,50,Masashi Kishimoto,Bìa mềm,truyentranh,"Tsukuyomi vô hạn được phát động, đưa người người chìm vào mộng giới. Qua âm mưu của Hắc Zetsu, Kaguya đã phục sinh và tiến hành thống nhất Chakra!! Với sức mạnh được Lục Đạo Tiên Nhân phó thác, Naruto và Sasuke sẽ đứng lên chống lại Kaguya và phong ấn bà ta!?",NXB Kim Đồng,Naruto Tập 71,160,12000,2020,NXB Kim Đồng,0,0,0
